R, G, B
3,3,3
2,2,2
3,3,3
3,3,3
3,3,3
2,2,2
3,3,3
2,2,2
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
4,4,4
4,4,4
4,4,4
4,4,4
4,4,4
5,5,5
4,4,4
5,5,5
6,6,6
6,6,6
6,6,6
7,7,7
7,7,7
6,6,6
6,6,6
6,6,6
6,6,6
6,6,6
5,5,5
5,5,5
5,5,5
4,4,4
4,4,4
3,3,3
4,4,4
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
2,2,2
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
4,4,4
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
4,4,4
4,4,4
3,3,3
4,4,4
4,4,4
4,4,4
4,4,4
4,4,4
5,5,5
6,6,6
6,6,6
7,7,7
7,7,7
8,8,8
10,10,10
12,12,12
16,16,16
19,19,19
21,21,21
23,23,23
28,28,28
31,31,31
29,29,29
25,25,25
19,19,19
17,17,17
14,14,14
11,11,11
9,9,9
7,7,7
6,6,6
6,6,6
5,5,5
5,5,5
5,5,5
5,5,5
5,5,5
5,5,5
5,5,5
6,6,6
5,5,5
6,6,6
7,7,7
8,8,8
8,8,8
10,10,10
12,12,12
17,17,17
20,20,20
21,21,21
21,21,21
22,22,22
21,21,21
19,19,19
18,18,18
20,20,20
19,19,19
21,21,21
20,20,20
19,19,19
14,14,14
11,11,11
9,9,9
7,7,7
6,6,6
6,6,6
5,5,5
5,5,5
5,5,5
5,5,5
6,6,6
6,6,6
7,7,7
10,10,10
11,11,11
18,18,18
25,25,25
35,35,35
44,44,44
48,48,48
47,47,47
47,47,47
46,46,46
46,46,46
39,39,39
28,28,28
23,23,23
19,19,19
18,18,18
17,17,17
15,15,15
13,13,13
11,11,11
9,9,9
9,9,9
9,9,9
9,9,9
12,12,12
13,13,13
17,17,17
20,20,20
26,26,26
35,35,35
42,42,42
53,53,53
55,55,55
58,58,58
70,70,70
80,80,80
83,83,83
93,93,93
108,108,108
112,112,112
123,123,123
137,137,137
127,127,127
109,109,109
85,85,85
66,66,66
46,46,46
32,32,32
24,24,24
19,19,19
15,15,15
15,15,15
13,13,13
12,12,12
11,11,11
11,11,11
11,11,11
11,11,11
11,11,11
11,11,11
11,11,11
12,12,12
11,11,11
11,11,11
11,11,11
9,9,9
10,10,10
10,10,10
12,12,12
10,10,10
11,11,11
11,11,11
11,11,11
11,11,11
11,11,11
10,10,10
9,9,9
10,10,10
10,10,10
11,11,11
11,11,11
12,12,12
12,12,12
12,12,12
14,14,14
16,16,16
18,18,18
21,21,21
25,25,25
29,29,29
36,36,36
44,44,44
55,55,55
70,70,70
83,83,83
91,91,91
96,96,96
99,99,99
96,96,96
103,103,103
102,102,102
98,98,98
2,2,2
3,3,3
3,3,3
2,2,2
2,2,2
2,2,2
3,3,3
2,2,2
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
2,2,2
2,2,2
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
4,4,4
4,4,4
4,4,4
4,4,4
4,4,4
4,4,4
4,4,4
4,4,4
5,5,5
5,5,5
5,5,5
5,5,5
5,5,5
5,5,5
5,5,5
5,5,5
4,4,4
4,4,4
4,4,4
4,4,4
4,4,4
3,3,3
3,3,3
4,4,4
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
4,4,4
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
4,4,4
3,3,3
4,4,4
4,4,4
4,4,4
4,4,4
5,5,5
5,5,5
5,5,5
6,6,6
7,7,7
7,7,7
7,7,7
8,8,8
10,10,10
11,11,11
14,14,14
16,16,16
21,21,21
24,24,24
24,24,24
21,21,21
17,17,17
14,14,14
11,11,11
10,10,10
8,8,8
8,8,8
7,7,7
6,6,6
5,5,5
5,5,5
5,5,5
4,4,4
4,4,4
5,5,5
5,5,5
5,5,5
5,5,5
6,6,6
6,6,6
7,7,7
8,8,8
9,9,9
10,10,10
13,13,13
18,18,18
19,19,19
23,23,23
23,23,23
24,24,24
23,23,23
21,21,21
18,18,18
18,18,18
19,19,19
20,20,20
21,21,21
19,19,19
16,16,16
11,11,11
8,8,8
7,7,7
6,6,6
6,6,6
6,6,6
6,6,6
5,5,5
5,5,5
5,5,5
6,6,6
7,7,7
8,8,8
9,9,9
12,12,12
19,19,19
27,27,27
36,36,36
40,40,40
37,37,37
32,32,32
31,31,31
31,31,31
24,24,24
20,20,20
19,19,19
18,18,18
17,17,17
15,15,15
14,14,14
11,11,11
10,10,10
9,9,9
9,9,9
9,9,9
10,10,10
11,11,11
13,13,13
15,15,15
19,19,19
25,25,25
31,31,31
38,38,38
46,46,46
50,50,50
57,57,57
69,69,69
81,81,81
82,82,82
86,86,86
101,101,101
110,110,110
132,132,132
147,147,147
142,142,142
118,118,118
94,94,94
75,75,75
54,54,54
36,36,36
26,26,26
20,20,20
18,18,18
14,14,14
13,13,13
11,11,11
11,11,11
10,10,10
11,11,11
11,11,11
12,12,12
12,12,12
13,13,13
12,12,12
11,11,11
12,12,12
11,11,11
11,11,11
11,11,11
11,11,11
12,12,12
12,12,12
13,13,13
13,13,13
12,12,12
12,12,12
11,11,11
11,11,11
11,11,11
11,11,11
11,11,11
11,11,11
10,10,10
12,12,12
12,12,12
13,13,13
14,14,14
16,16,16
17,17,17
20,20,20
26,26,26
30,30,30
34,34,34
42,42,42
53,53,53
68,68,68
84,84,84
89,89,89
95,95,95
101,101,101
99,99,99
103,103,103
101,101,101
96,96,96
3,3,3
3,3,3
3,3,3
2,2,2
3,3,3
2,2,2
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
2,2,2
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
4,4,4
3,3,3
3,3,3
4,4,4
3,3,3
4,4,4
3,3,3
4,4,4
4,4,4
4,4,4
4,4,4
4,4,4
4,4,4
5,5,5
4,4,4
5,5,5
4,4,4
4,4,4
4,4,4
4,4,4
4,4,4
4,4,4
4,4,4
4,4,4
4,4,4
3,3,3
4,4,4
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
3,3,3
