0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255
3,2,3,3,3,2,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,5,4,5,6,6,6,7,7,6,6,6,6,6,5,5,5,4,4,3,4,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,3,4,4,4,4,4,5,6,6,7,7,8,10,12,16,19,21,23,28,31,29,25,19,17,14,11,9,7,6,6,5,5,5,5,5,5,5,6,5,6,7,8,8,10,12,17,20,21,21,22,21,19,18,20,19,21,20,19,14,11,9,7,6,6,5,5,5,5,6,6,7,10,11,18,25,35,44,48,47,47,46,46,39,28,23,19,18,17,15,13,11,9,9,9,9,12,13,17,20,26,35,42,53,55,58,70,80,83,93,108,112,123,137,127,109,85,66,46,32,24,19,15,15,13,12,11,11,11,11,11,11,11,12,11,11,11,9,10,10,12,10,11,11,11,11,11,10,9,10,10,11,11,12,12,12,14,16,18,21,25,29,36,44,55,70,83,91,96,99,96,103,102,98
2,3,3,2,2,2,3,2,3,3,3,3,3,3,3,3,2,2,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,4,4,4,4,4,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,4,4,4,4,5,5,5,6,7,7,7,8,10,11,14,16,21,24,24,21,17,14,11,10,8,8,7,6,5,5,5,4,4,5,5,5,5,6,6,7,8,9,10,13,18,19,23,23,24,23,21,18,18,19,20,21,19,16,11,8,7,6,6,6,6,5,5,5,6,7,8,9,12,19,27,36,40,37,32,31,31,24,20,19,18,17,15,14,11,10,9,9,9,10,11,13,15,19,25,31,38,46,50,57,69,81,82,86,101,110,132,147,142,118,94,75,54,36,26,20,18,14,13,11,11,10,11,11,12,12,13,12,11,12,11,11,11,11,12,12,13,13,12,12,11,11,11,11,11,11,10,12,12,13,14,16,17,20,26,30,34,42,53,68,84,89,95,101,99,103,101,96
3,3,3,2,3,2,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,4,3,3,4,3,4,3,4,4,4,4,4,4,5,4,5,4,4,4,4,4,4,4,4,4,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,4,3,4,3,3,4,4,4,4,4,5,5,5,6,7,6,7,7,8,10,14,20,21,18,14,11,11,8,8,7,7,6,5,5,5,4,4,4,5,5,5,5,5,6,7,8,9,11,14,18,20,21,25,25,25,23,21,19,19,19,20,19,17,12,9,7,7,6,6,6,5,6,5,5,5,7,7,9,11,16,21,25,26,21,20,19,17,16,15,15,15,14,13,12,9,9,9,8,10,11,12,15,19,25,29,38,42,49,53,60,71,74,80,92,104,121,138,142,118,97,79,58,39,28,22,17,15,14,11,11,11,10,12,12,13,13,14,13,13,14,14,14,14,14,15,16,15,15,13,13,13,12,12,12,12,11,12,12,13,14,17,18,22,27,33,39,45,53,66,79,90,93,99,104,108,109,99
2,3,2,3,3,2,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,4,4,4,4,4,4,3,4,4,4,4,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,2,3,2,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,4,3,3,4,4,5,5,5,5,6,6,6,6,6,6,9,13,17,16,13,11,10,8,7,7,5,6,6,6,5,4,4,4,4,4,4,5,4,6,5,6,8,9,11,14,18,21,21,25,25,25,24,24,23,21,20,19,18,16,12,8,7,6,6,6,5,5,5,5,5,6,6,7,8,8,10,12,16,18,15,14,14,14,13,13,15,14,13,11,10,9,8,8,9,9,10,12,14,18,23,30,39,43,46,48,52,60,65,72,83,94,99,109,115,105,94,81,61,43,30,23,18,16,14,12,12,12,12,13,14,15,16,18,19,18,20,20,18,17,16,17,18,18,18,16,17,16,14,13,13,12,13,12,12,13,15,17,19,23,29,38,43,48,57,67,79,84,91,97,108,111,112,100
3,3,3,2,2,3,3,3,3,3,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,4,3,4,4,3,4,3,3,3,3,4,3,3,4,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,3,4,4,4,5,5,5,6,6,6,6,6,7,11,13,12,11,9,8,7,7,7,5,5,5,5,5,4,5,4,4,5,4,5,5,5,6,6,7,9,11,15,18,21,23,23,23,23,23,24,26,23,21,20,18,16,12,8,6,6,5,5,5,5,5,5,5,5,6,6,7,7,8,9,10,13,12,11,11,11,13,11,12,13,10,10,10,9,8,7,8,8,9,11,13,17,20,27,35,39,45,45,50,57,63,67,74,82,86,86,88,84,80,69,51,38,28,22,19,16,14,12,13,13,16,15,17,20,21,24,24,28,28,28,23,23,24,24,26,25,22,21,19,18,17,16,15,14,13,13,13,14,16,18,19,24,31,37,45,53,60,66,76,82,89,100,108,110,110,101
3,3,2,3,3,3,3,3,3,3,2,3,2,3,3,3,4,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,2,3,4,3,3,4,3,4,4,4,5,5,5,6,5,6,6,7,7,9,9,8,8,7,7,5,5,5,5,4,5,4,4,4,4,4,4,4,5,5,6,5,6,7,8,10,14,18,21,22,22,22,22,23,25,27,24,20,20,18,14,10,8,6,6,6,6,5,5,5,5,6,5,6,6,6,6,7,8,8,9,10,10,11,11,11,10,10,10,10,9,9,8,8,7,8,8,9,11,11,16,19,25,31,35,42,46,52,58,61,62,65,71,80,82,75,69,62,53,41,33,26,21,18,16,15,13,13,16,18,24,28,29,31,33,31,31,31,32,28,29,34,40,41,34,29,28,28,24,21,19,16,16,14,13,14,15,15,17,21,25,30,38,46,53,64,68,76,80,85,94,104,104,100,89
2,3,3,2,3,2,2,3,3,3,3,2,2,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,2,3,3,2,3,3,3,2,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,4,4,4,5,5,5,6,6,5,5,6,6,6,6,7,6,6,6,5,5,4,5,4,4,4,4,4,4,4,4,5,5,4,5,6,6,7,9,10,13,17,19,20,20,21,21,22,21,23,21,20,18,18,13,9,7,6,6,5,5,5,5,6,5,5,5,5,5,6,6,6,6,7,8,8,9,10,11,11,11,10,9,9,8,8,7,7,7,7,8,8,10,12,14,18,22,27,31,37,43,52,59,61,64,64,66,70,68,63,59,53,45,38,30,25,21,17,16,15,14,15,19,28,37,37,40,43,41,40,35,32,28,29,29,35,45,49,45,39,34,35,35,31,27,23,19,17,15,15,16,16,19,21,25,32,42,46,56,64,70,79,81,86,92,92,93,83,81
3,3,3,3,3,2,2,3,2,2,2,3,3,3,3,2,3,2,3,3,3,2,3,3,2,3,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,6,6,6,6,5,5,5,5,4,4,4,4,4,4,4,4,4,3,4,4,5,6,6,6,7,11,10,12,15,17,19,20,20,21,21,20,20,20,19,18,17,12,10,7,7,6,6,6,5,5,5,5,5,5,5,5,5,6,6,6,7,7,8,10,11,12,11,10,9,9,8,8,7,8,8,7,7,8,8,9,11,12,14,18,22,28,36,45,49,56,55,60,60,61,62,65,55,53,47,42,35,28,22,19,17,16,15,14,18,26,34,39,44,49,51,47,45,39,30,32,30,29,33,40,46,49,46,42,43,42,39,36,30,22,18,16,15,16,17,18,20,26,33,42,49,54,61,71,79,80,83,87,89,85,81,77
3,2,3,3,2,3,2,3,2,2,3,3,2,3,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,4,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,5,6,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,5,6,5,5,7,8,8,9,12,13,16,18,18,17,18,17,18,18,17,16,15,11,8,7,6,5,5,5,5,5,4,5,5,5,5,6,5,6,6,6,6,6,8,9,11,12,11,10,9,8,8,8,9,7,7,7,7,8,7,8,9,11,13,15,19,25,33,42,45,46,51,56,59,61,60,54,45,40,37,32,29,23,19,18,16,15,15,15,22,33,40,46,50,54,51,52,47,38,34,30,30,28,31,35,41,46,45,45,46,48,45,41,35,27,20,17,16,15,17,18,20,26,35,44,45,54,61,70,76,76,83,82,81,80,76,76
3,2,3,3,2,2,2,2,2,2,2,2,3,2,2,3,3,2,3,3,3,3,2,3,2,3,2,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,4,3,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,5,5,5,5,7,7,8,10,11,13,14,16,15,17,16,16,17,15,15,12,9,7,7,6,5,6,5,5,5,4,5,5,5,5,5,6,6,6,6,6,7,7,8,9,10,10,9,9,8,9,8,7,8,7,7,7,7,7,7,8,10,12,13,16,20,27,34,39,40,45,48,46,48,48,43,38,32,30,26,23,20,18,16,16,13,15,19,28,35,45,52,51,54,56,56,49,41,35,32,29,27,30,36,39,44,47,47,47,51,47,43,38,35,26,20,16,15,18,18,20,25,32,42,43,50,59,64,69,75,76,77,75,75,76,73
